"","Season","TeamName","WScore","WTeamID","WFGA","WFGM","LScore","LTeamID","LFGA","LFGM","Duke.Scoreself","Duke.Scoreoppo","Duke.Perc","Oppo.Perc","Diff"
"1",2003,"Duke",101,1181,68,29,53,1119,58,21,101,53,0.426470588235294,0.362068965517241,0.0644016227180527
"2",2003,"Duke",95,1181,67,30,80,1172,64,29,95,80,0.447761194029851,0.453125,-0.00536380597014924
"3",2003,"Duke",84,1181,59,32,73,1417,58,25,84,73,0.542372881355932,0.431034482758621,0.111338398597312
"4",2003,"Duke",91,1181,55,27,76,1326,55,23,91,76,0.490909090909091,0.418181818181818,0.0727272727272728
"5",2003,"Duke",81,1181,61,29,59,1276,51,22,81,59,0.475409836065574,0.431372549019608,0.0440372870459659
"6",2003,"Duke",91,1181,71,27,57,1299,60,23,91,57,0.380281690140845,0.383333333333333,-0.0030516431924883
"7",2003,"Duke",85,1181,46,27,74,1173,62,27,85,74,0.58695652173913,0.435483870967742,0.151472650771389
"8",2003,"Duke",86,1181,69,27,58,1193,59,22,86,58,0.391304347826087,0.372881355932203,0.0184229918938836
"9",2003,"Duke",89,1181,52,27,71,1155,58,24,89,71,0.519230769230769,0.413793103448276,0.105437665782493
"10",2003,"Duke",93,1181,65,34,86,1207,76,34,93,86,0.523076923076923,0.447368421052632,0.0757085020242915
"11",2003,"Duke",74,1181,57,27,55,1448,64,22,74,55,0.473684210526316,0.34375,0.129934210526316
"12",2003,"Duke",104,1181,58,29,93,1438,61,31,104,93,0.5,0.508196721311475,-0.00819672131147542
"13",2003,"Maryland",87,1268,56,26,72,1181,66,28,72,87,0.424242424242424,0.464285714285714,-0.04004329004329
"14",2003,"NC State",80,1301,46,23,71,1181,53,20,71,80,0.377358490566038,0.5,-0.122641509433962
"15",2003,"Duke",91,1181,61,31,71,1210,54,21,91,71,0.508196721311475,0.388888888888889,0.119307832422587
"16",2003,"Duke",80,1181,53,28,60,1139,58,22,80,60,0.528301886792453,0.379310344827586,0.148991541964867
"17",2003,"Florida St",75,1199,50,30,70,1181,72,25,70,75,0.347222222222222,0.6,-0.252777777777778
"18",2003,"Duke",83,1181,64,28,74,1314,61,27,83,74,0.4375,0.442622950819672,-0.00512295081967212
"19",2003,"Duke",65,1181,62,21,55,1155,49,19,65,55,0.338709677419355,0.387755102040816,-0.0490454246214615
"20",2003,"Wake Forest",94,1448,60,31,80,1181,73,23,80,94,0.315068493150685,0.516666666666667,-0.201598173515982
"21",2003,"Duke",78,1181,67,30,59,1438,60,24,78,59,0.447761194029851,0.4,0.0477611940298507
"22",2003,"Duke",75,1181,68,28,70,1268,58,23,75,70,0.411764705882353,0.396551724137931,0.0152129817444219
"23",2003,"Duke",79,1181,57,27,68,1301,46,26,79,68,0.473684210526316,0.565217391304348,-0.091533180778032
"24",2003,"Duke",77,1181,54,30,58,1210,57,22,77,58,0.555555555555556,0.385964912280702,0.169590643274854
"25",2003,"St John's",72,1385,62,24,71,1181,45,24,71,72,0.533333333333333,0.387096774193548,0.146236559139785
"26",2003,"Duke",72,1181,56,22,56,1199,54,22,72,56,0.392857142857143,0.407407407407407,-0.0145502645502645
"27",2003,"North Carolina",82,1314,59,33,79,1181,71,32,79,82,0.450704225352113,0.559322033898305,-0.108617808546192
"28",2003,"Duke",83,1181,54,28,76,1438,51,29,83,76,0.518518518518518,0.568627450980392,-0.0501089324618736
"29",2003,"Duke",75,1181,50,27,63,1314,49,21,75,63,0.54,0.428571428571429,0.111428571428571
"30",2003,"Duke",84,1181,56,24,77,1301,59,26,84,77,0.428571428571429,0.440677966101695,-0.0121065375302664
"31",2004,"Duke",67,1181,45,16,56,1178,46,22,67,56,0.355555555555556,0.478260869565217,-0.122705314009662
"32",2004,"Duke",82,1181,52,26,69,1334,61,25,82,69,0.5,0.409836065573771,0.0901639344262295
"33",2004,"Duke",76,1181,59,26,47,1251,52,18,76,47,0.440677966101695,0.346153846153846,0.0945241199478488
"34",2004,"Purdue",78,1345,57,28,68,1181,71,27,68,78,0.380281690140845,0.491228070175439,-0.110946380034594
"35",2004,"Duke",72,1181,49,29,50,1277,50,20,72,50,0.591836734693878,0.4,0.191836734693878
"36",2004,"Duke",79,1181,53,26,58,1385,56,25,79,58,0.490566037735849,0.446428571428571,0.0441374663072776
"37",2004,"Duke",84,1181,65,32,43,1339,62,15,84,43,0.492307692307692,0.241935483870968,0.250372208436725
"38",2004,"Duke",69,1181,55,24,51,1343,52,22,69,51,0.436363636363636,0.423076923076923,0.0132867132867133
"39",2004,"Duke",89,1181,54,31,61,1400,66,21,89,61,0.574074074074074,0.318181818181818,0.255892255892256
"40",2004,"Duke",88,1181,63,32,54,1172,56,19,88,54,0.507936507936508,0.339285714285714,0.168650793650794
"41",2004,"Duke",73,1181,65,31,54,1155,52,20,73,54,0.476923076923077,0.384615384615385,0.0923076923076923
"42",2004,"Duke",99,1181,64,34,58,1193,56,21,99,58,0.53125,0.375,0.15625
"43",2004,"Duke",93,1181,65,34,71,1438,62,25,93,71,0.523076923076923,0.403225806451613,0.11985111662531
"44",2004,"Duke",76,1181,53,27,57,1301,51,23,76,57,0.509433962264151,0.450980392156863,0.0584535701072882
"45",2004,"Duke",84,1181,54,28,72,1448,68,24,84,72,0.518518518518518,0.352941176470588,0.16557734204793
"46",2004,"Duke",68,1181,71,24,60,1268,59,25,68,60,0.338028169014085,0.423728813559322,-0.0857006445452375
"47",2004,"Duke",85,1181,62,35,66,1207,58,25,85,66,0.564516129032258,0.431034482758621,0.133481646273637
"48",2004,"Duke",56,1181,52,20,49,1199,61,18,56,49,0.384615384615385,0.295081967213115,0.0895334174022699
"49",2004,"Duke",82,1181,58,29,74,1210,69,26,82,74,0.5,0.376811594202899,0.123188405797101
"50",2004,"Duke",83,1181,64,27,81,1314,74,32,83,81,0.421875,0.432432432432432,-0.0105574324324325
"51",2004,"Duke",81,1181,51,25,55,1155,43,20,81,55,0.490196078431373,0.465116279069767,0.0250797993616051
"52",2004,"Duke",93,1181,56,29,75,1438,57,27,93,75,0.517857142857143,0.473684210526316,0.0441729323308271
"53",2004,"NC State",78,1301,50,26,74,1181,56,23,74,78,0.410714285714286,0.52,-0.109285714285714
"54",2004,"Wake Forest",90,1448,64,32,84,1181,63,31,84,90,0.492063492063492,0.5,-0.00793650793650796
"55",2004,"Duke",86,1181,54,27,63,1268,59,22,86,63,0.5,0.372881355932203,0.127118644067797
"56",2004,"Duke",97,1181,64,31,63,1434,74,23,97,63,0.484375,0.310810810810811,0.173564189189189
"57",2004,"Duke",70,1181,51,20,65,1199,53,23,70,65,0.392156862745098,0.433962264150943,-0.0418054014058454
"58",2004,"Georgia Tech",76,1210,51,26,68,1181,70,24,68,76,0.342857142857143,0.509803921568627,-0.166946778711485
"59",2004,"Duke",70,1181,58,28,65,1314,65,24,70,65,0.482758620689655,0.369230769230769,0.113527851458886
"60",2004,"Duke",84,1181,50,25,74,1438,56,25,84,74,0.5,0.446428571428571,0.0535714285714285
"61",2004,"Duke",85,1181,54,28,71,1210,55,25,85,71,0.518518518518518,0.454545454545455,0.063973063973064
"62",2004,"Maryland",95,1268,67,29,87,1181,70,33,87,95,0.471428571428571,0.432835820895522,0.0385927505330491
"63",2005,"Duke",88,1181,75,30,46,1404,59,20,88,46,0.4,0.338983050847458,0.0610169491525424
"64",2005,"Duke",74,1181,58,25,61,1172,60,23,74,61,0.431034482758621,0.383333333333333,0.0477011494252873
"65",2005,"Duke",98,1181,70,37,44,1422,61,18,98,44,0.528571428571429,0.295081967213115,0.233489461358314
"66",2005,"Duke",81,1181,51,26,74,1277,52,23,81,74,0.509803921568627,0.442307692307692,0.0674962292609351
"67",2005,"Duke",93,1181,55,36,61,1434,51,21,93,61,0.654545454545455,0.411764705882353,0.242780748663102
"68",2005,"Duke",82,1181,73,30,54,1405,54,19,82,54,0.410958904109589,0.351851851851852,0.0591070522577372
"69",2005,"Duke",88,1181,61,30,55,1227,59,22,88,55,0.491803278688525,0.372881355932203,0.118921922756321
"70",2005,"Duke",78,1181,51,27,67,1328,61,23,78,67,0.529411764705882,0.377049180327869,0.152362584378014
"71",2005,"Duke",62,1181,60,22,54,1155,61,20,62,54,0.366666666666667,0.327868852459016,0.0387978142076503
"72",2005,"Duke",59,1181,47,17,46,1343,53,20,59,46,0.361702127659574,0.377358490566038,-0.0156563629064633
"73",2005,"Duke",82,1181,56,27,74,1396,62,27,82,74,0.482142857142857,0.435483870967742,0.0466589861751152
"74",2005,"Duke",86,1181,52,27,74,1301,58,25,86,74,0.519230769230769,0.431034482758621,0.0881962864721486
"75",2005,"Duke",80,1181,55,28,66,1438,63,22,80,66,0.509090909090909,0.349206349206349,0.15988455988456
"76",2005,"Duke",92,1181,51,31,83,1274,77,35,92,83,0.607843137254902,0.454545454545455,0.153297682709447
"77",2005,"Duke",88,1181,56,31,56,1199,57,19,88,56,0.553571428571429,0.333333333333333,0.220238095238095
"78",2005,"Maryland",75,1268,63,26,66,1181,72,24,66,75,0.333333333333333,0.412698412698413,-0.0793650793650794
"79",2005,"Duke",100,1181,63,30,65,1439,64,24,100,65,0.476190476190476,0.375,0.101190476190476
"80",2005,"Wake Forest",92,1448,74,34,89,1181,61,30,89,92,0.491803278688525,0.459459459459459,0.0323438192290651
"81",2005,"Duke",82,1181,64,24,65,1210,65,26,82,65,0.375,0.4,-0.025
"82",2005,"Duke",71,1181,56,20,70,1314,57,25,71,70,0.357142857142857,0.43859649122807,-0.081453634085213
"83",2005,"Maryland",99,1268,75,33,92,1181,73,29,92,99,0.397260273972603,0.44,-0.0427397260273973
"84",2005,"Virginia Tech",67,1439,64,25,65,1181,59,23,65,67,0.389830508474576,0.390625,-0.000794491525423713
"85",2005,"Duke",102,1181,54,32,92,1448,57,29,102,92,0.592592592592593,0.508771929824561,0.0838206627680311
"86",2005,"Duke",60,1181,56,19,56,1210,57,24,60,56,0.339285714285714,0.421052631578947,-0.081766917293233
"87",2005,"Duke",58,1181,51,16,47,1385,52,17,58,47,0.313725490196078,0.326923076923077,-0.0131975867269985
"88",2005,"Duke",83,1181,62,25,59,1274,60,23,83,59,0.403225806451613,0.383333333333333,0.0198924731182795
"89",2005,"North Carolina",75,1314,67,27,73,1181,56,26,73,75,0.464285714285714,0.402985074626866,0.0613006396588486
"90",2005,"Duke",76,1181,65,24,64,1438,58,22,76,64,0.369230769230769,0.379310344827586,-0.0100795755968169
"91",2005,"Duke",76,1181,56,28,69,1301,55,24,76,69,0.5,0.436363636363636,0.0636363636363637
"92",2005,"Duke",69,1181,56,22,64,1210,71,21,69,64,0.392857142857143,0.295774647887324,0.0970824949698189
"93",2006,"Duke",64,1181,55,22,47,1131,45,22,64,47,0.4,0.488888888888889,-0.0888888888888889
"94",2006,"Duke",93,1181,55,35,40,1371,54,13,93,40,0.636363636363636,0.240740740740741,0.395622895622896
"95",2006,"Duke",84,1181,59,31,55,1172,57,22,84,55,0.525423728813559,0.385964912280702,0.139458816532858
"96",2006,"Duke",78,1181,54,27,68,1180,66,27,78,68,0.5,0.409090909090909,0.0909090909090909
"97",2006,"Duke",70,1181,51,25,67,1272,66,27,70,67,0.490196078431373,0.409090909090909,0.0811051693404634
"98",2006,"Duke",75,1181,56,29,67,1231,59,29,75,67,0.517857142857143,0.491525423728814,0.0263317191283293
"99",2006,"Duke",77,1181,56,26,75,1439,62,32,77,75,0.464285714285714,0.516129032258065,-0.0518433179723502
